nome;is_person;role_detail;role_group;numero_episodio
ARNO KLAWITTER;TRUE;H.G. TANNHAUS 1953;Cast;Dark S01E09
ARNO NEUBAUER;TRUE;LINE PRODUCER;Production Managers;Dark S01E09
ARNO NEUBAUER;TRUE;UNIT PRODUCTION MANAGER;Production Managers;Dark S01E09
ARRI MEDIA;FALSE;HEAD OF POSTPRODUCTION;Miscellaneous Companies;Dark S01E09
ARRI RENTAL BERLIN;FALSE;CAMERA EQUIPMENT RENTAL;Miscellaneous Companies;Dark S01E09
ART DEPARTMENT STUDIO BABELSBERG;FALSE;CONSTRUCTION COMPANIES;Miscellaneous Companies;Dark S01E09
ASCANIUS BÖTTGER;TRUE;ASSISTANT EDITORS;Editorial Department;Dark S01E09
ASHLIN YU;TRUE;EXECUTIVE ASSISTANTS;Production Department;Dark S01E09
Assaf Cohen;TRUE;Noah;Voice Actors - Dubbing;Dark S01E09
ASTRID STEBICH;TRUE;MAKE UP & HAIR TRAINEE;Makeup Department;Dark S01E09
BADR ZOUHIR;TRUE;SET MANAGERS;Production Department;Dark S01E09
BARAN BO ODAR;TRUE;CREATED BY;Writers;Dark S01E09
BARAN BO ODAR;TRUE;DIRECTED BY;Directors;Dark S01E09
BARAN BO ODAR;TRUE;EXECUTIVE PRODUCERS;Producers;Dark S01E09
BARBARA ZSCHETZSCHE;TRUE;DAILY MAKE-UP & HAIR;Makeup Department;Dark S01E09
BASIS;FALSE;RE-RECORDING MIXERS;Miscellaneous Companies;Dark S01E09
BAT GANKHUYAG;TRUE;DAILY GRIP;Camera and Electrical Department;Dark S01E09
BÉLA GABOR LENZ;TRUE;ALEKSANDER TIEDEMANN 1986;Cast;Dark S01E09
BEN BISCHOF;TRUE;2ND UNIT 1ST AD;Second Unit Directors or Assistant Directors;Dark S01E09
BEN EDLICH;TRUE;GRIP;Camera and Electrical Department;Dark S01E09
BEN FROST;TRUE;ORIGINAL MUSIC by;Composers;Dark S01E09
BENJAMIN A. ROSENKIND;TRUE;RE-RECORDING MIXERS;Sound Department;Dark S01E09
Benjamin BOLLEN;TRUE;Jonas;Voice Actors - Dubbing;Dark S01E09
BENJAMIN DUNKER;TRUE;BOOM OPERATOR;Sound Department;Dark S01E09
BENJAMIN LÖBBERT;TRUE;ASSISTANT SET MANAGERS;Production Department;Dark S01E09
BENJAMIN ROEPCKE;TRUE;2ND UNIT DAILY AD'S;Second Unit Directors or Assistant Directors;Dark S01E09
BENJAMIN SCHÄFER;TRUE;ADR EDITOR;Sound Department;Dark S01E09
BENNET WEIDEMANN;TRUE;2ND UNIT DAILY AD'S;Second Unit Directors or Assistant Directors;Dark S01E09
Benoît DU PAC;TRUE;Direction artistique;Dubbing;Dark S01E09
BERND CLAUSS;TRUE;TECHNICAL MANAGER;Sound Department;Dark S01E09
Bernhard Forcher;TRUE;Egon Tiedemann (1953);Voice Actors - Dubbing;Dark S01E09
BERNHARD MAURER;TRUE;FOLEY RECORDING ENGINEER;Sound Department;Dark S01E09
BERNIE GREINER;TRUE;DIGITAL COLORISTS;Color Department;Dark S01E09
BERTIN MOLZ;TRUE;2ND UNIT SOUND MIXERS;Sound Department;Dark S01E09
BETTINA BRENNER;TRUE;PRODUCTION ACCOUNTANT;Production Finance and Accounting;Dark S01E09
BJÖRN KÄHLER;TRUE;CONCEPT / MATTE PAINTING;Visual Effects;Dark S01E09
BJÖRN S. BERGER;TRUE;2ND UNIT SCRIPT / CONTINUITY;Script and Continuity Department;Dark S01E09
BJÖRN SUSEN;TRUE;GAFFER;Camera and Electrical Department;Dark S01E09
Bradley Painter;TRUE;Jonas Kahnwald (2019);Voice Actors - Dubbing;Dark S01E09
BRIAN PEARSON;TRUE;BUSINESS DEVELOPMENT;Additional Crew;Dark S01E09
Brice OURNAC;TRUE;Magnus;Voice Actors - Dubbing;Dark S01E09
BRITTA KREHL;TRUE;PHOTO PRE-PRODUCTION;Camera and Electrical Department;Dark S01E09
Caio Albieri;TRUE;;Voice Actors - Dubbing;Dark S01E09
Carlos Campanille;TRUE;;Voice Actors - Dubbing;Dark S01E09
STEPHAN FANDRYCH;TRUE;ADR SUPERVISOR;Sound Department;Dark S01E09
Carlos Silveira;TRUE;;Voice Actors - Dubbing;Dark S01E09
CARLOTTA VON FALKENHAYN;TRUE;ELISABETH DOPPLER;Cast;Dark S01E09
Carol Sodré;TRUE;;Voice Actors - Dubbing;Dark S01E09
CAROL TURNER;TRUE;PHYSICAL PRODUCTION;Production Managers;Dark S01E09
CAROLIN SCHOGS;TRUE;AGER / DYER;Costume and Wardrobe Department;Dark S01E09
CASPAR SACHSSE;TRUE;2ND UNIT SOUND MIXERS;Sound Department;Dark S01E09
Cassius Romero;TRUE;;Voice Actors - Dubbing;Dark S01E09
CCC FILMSTUDIOS;FALSE;STAGES;Miscellaneous Companies;Dark S01E09
Cesar Emilio;TRUE;;Voice Actors - Dubbing;Dark S01E09
Cesar Marchetti;TRUE;Egon jovem;Voice Actors - Dubbing;Dark S01E09
CHRIS BAUMSTIEGER;TRUE;CARPENTERS;Art Department;Dark S01E09
CHRISTIAN BISCHOFF;TRUE;RE-RECORDING MIXERS;Sound Department;Dark S01E09
CHRISTIAN DAHLMANN;TRUE;SET DRESSERS;Art Department;Dark S01E09
CHRISTIAN KUSS;TRUE;DIT'S;Camera and Electrical Department;Dark S01E09
CHRISTIAN MEINHERZ;TRUE;PROP DRIVERS;Transportation Department;Dark S01E09
CHRISTIAN PÄTZOLD;TRUE;EGON TIEDEMANN 1986;Cast;Dark S01E09
CHRISTIAN RYBKA;TRUE;DAILY ELECTRICIANS;Camera and Electrical Department;Dark S01E09
CHRISTIAN STEYER;TRUE;H.G. TANNHAUS 1986;Cast;Dark S01E09
Christian Torsten Voges;TRUE;Director;Dubbing;Dark S01E09
CHRISTIAN TRÖGER;TRUE;ONLINE & FINISHING ARTISTS;Visual Effects;Dark S01E09
CHRISTIN JAHRMƒRKER;TRUE;DAILY CAMERA ASSISTANTS;Camera and Electrical Department;Dark S01E09
CHRISTINA HEIDELMEIER;TRUE;SET DECORATOR ASSISTANTS;Art Department;Dark S01E09
CHRISTINA WAGNER;TRUE;MAKE UP & HAIR ARTISTS;Makeup Department;Dark S01E09
CHRISTOPH STANGIER;TRUE;DRIVERS;Transportation Department;Dark S01E09
CLARA VON ARNIM;TRUE;2ND UNIT DAILY AD'S;Second Unit Directors or Assistant Directors;Dark S01E09
CLARE WALKER;TRUE;BUSINESS AND LEGAL AFFAIRS;Legal Department;Dark S01E09
CLEMENS SZELIES;TRUE;ASSISTANT VIDEO OPERATORS;Camera and Electrical Department;Dark S01E09
Constanza Faraggi;TRUE;Katharina 1986;Voice Actors - Dubbing;Dark S01E09
CORDELIA WEGE;TRUE;GRETA DOPPLER 1953;Cast;Dark S01E09
CORNELIA ANNA SOBIK;TRUE;JUNIOR COSTUMER;Costume and Wardrobe Department;Dark S01E09
DAAN LENNARD LIEBRENZ;TRUE;MIKKEL NIELSEN;Cast;Dark S01E09
DAN JUNG;TRUE;ELECTRICIANS;Camera and Electrical Department;Dark S01E09
DANIEL BOROVKOV;TRUE;2ND UNIT DAILY AD'S;Second Unit Directors or Assistant Directors;Dark S01E09
Daniel Garcia;TRUE;;Voice Actors - Dubbing;Dark S01E09
DANIEL HARTLEHNERT;TRUE;COMPOSITORS;Visual Effects;Dark S01E09
DANIEL RATH;TRUE;CG ARTISTS;Visual Effects;Dark S01E09
DANIEL SANDBERG;TRUE;PROP BUYER / PICTURE CAR COORDINATOR;Art Department;Dark S01E09
DANIEL VOGL;TRUE;HEAD OF ARRI SOUND;Sound Department;Dark S01E09
DANIEL WITT;TRUE;CG ARTISTS;Visual Effects;Dark S01E09
DANIELA GARKOV;TRUE;KEY SET PA;Production Department;Dark S01E09
Daniela Gussoni;TRUE;TraducciÃ³n y adaptaciÃ³n;Dubbing;Dark S01E09
DAVID BOBICHON;TRUE;COMPOSITORS;Visual Effects;Dark S01E09
DAVID FLEMMING;TRUE;DAILY DRIVERS;Transportation Department;Dark S01E09
DAVID HACKE;TRUE;AD PA;Second Unit Directors or Assistant Directors;Dark S01E09
DAVID JUNG;TRUE;2ND UNIT BOOM OPERATORS;Sound Department;Dark S01E09
DAVID KÜHN;TRUE;SET RUNNERS;Production Department;Dark S01E09
DAVID LAUBSCH;TRUE;SENIOR COMPOSITING ARTISTS;Visual Effects;Dark S01E09
DAVID MARIA VOGEL;TRUE;ASSISTANT EDITORS;Editorial Department;Dark S01E09
DAVID OH;TRUE;POST PRODUCTION;Editorial Department;Dark S01E09
DAVID OPATZ;TRUE;SFX TECHNICIANS;Special Effects;Dark S01E09
DAVID ROSCHKE;TRUE;2ND UNIT ELECTRICIANS;Camera and Electrical Department;Dark S01E09
DAVID SALAMON;TRUE;CG ARTISTS;Visual Effects;Dark S01E09
Davide Capone;TRUE;Bartosz;Voice Actors - Dubbing;Dark S01E09
DEBORAH KAUFMANN;TRUE;REGINA TIEDEMANN;Cast;Dark S01E09
BENJAMIN BURR;TRUE;COMPOSITING SUPERVISORS;Visual Effects;Dark S01E09
RAYK SCHROEDER;TRUE;COMPOSITING SUPERVISORS;Visual Effects;Dark S01E09
DENNY HAHNFELDT;TRUE;2ND UNIT SET RUNNERS;Production Department;Dark S01E09
Diego Lima;TRUE;Aleksander jovem;Voice Actors - Dubbing;Dark S01E09
DIETMAR HAUPT;TRUE;2ND UNIT GAFFERS;Camera and Electrical Department;Dark S01E09
DIRK SIEHLMANN;TRUE;2ND UNIT ELECTRICIANS;Camera and Electrical Department;Dark S01E09
DOMINIK POTT;TRUE;FX ARTISTS;Visual Effects;Dark S01E09
Don Stark;TRUE;Helge Doppler (1986);Voice Actors - Dubbing;Dark S01E09
Donna Pieroni;TRUE;Claudia Tiedemann (2019);Voice Actors - Dubbing;Dark S01E09
Dorit Simone Kashi;TRUE;Casting Director;Dubbing;Dark S01E09
EDGAR FISCHNALLER;TRUE;DAILY ELECTRICIANS;Camera and Electrical Department;Dark S01E09
Edgar Maldonado;TRUE;Sound Mixers;Dubbing_Sound;Dark S01E09
ELENA GOSCH;TRUE;DAILY SET DEC BUYERS;Art Department;Dark S01E09
ELENI GROSZER;TRUE;DAILY COSTUMERS;Costume and Wardrobe Department;Dark S01E09
Eleonora Prado;TRUE;Hannah;Voice Actors - Dubbing;Dark S01E09
ELIAS HEIDUK;TRUE;2ND UNIT GRIP;Camera and Electrical Department;Dark S01E09
ELISABETH SCHMIDT;TRUE;DAILY 2ND UNIT COSTUMERS;Costume and Wardrobe Department;Dark S01E09
ELLA LEE;TRUE;HANNAH KAHNWALD 1986;Cast;Dark S01E09
ELMAR POHL;TRUE;SENIOR COMPOSITING ARTISTS;Visual Effects;Dark S01E09
ELMAR SUSKA;TRUE;B-DOLLY;Camera and Electrical Department;Dark S01E09
ELSA FABIAN;TRUE;DAILY COSTUMERS;Costume and Wardrobe Department;Dark S01E09
Emanuela Ionica;TRUE;Franziska;Voice Actors - Dubbing;Dark S01E09
EMIL PFEIFER;TRUE;COMPOSITORS;Visual Effects;Dark S01E09
Emilia Costa;TRUE;Regina;Voice Actors - Dubbing;Dark S01E09
Emilie MARIE;TRUE;Franziska;Voice Actors - Dubbing;Dark S01E09
Emilie RAULT;TRUE;Martha;Voice Actors - Dubbing;Dark S01E09
ENRICO REINECKE;TRUE;MOVE COORDINATORS;Additional Crew;Dark S01E09
ERIC SCHAECHTER;TRUE;FLAME ARTISTS;Visual Effects;Dark S01E09
ERIC VON MUTIUS;TRUE;DAILY DRIVERS;Transportation Department;Dark S01E09
ERIK BARMACK;TRUE;EXECUTIVE PRODUCERS;Producers;Dark S01E09
Erin Coker;TRUE;Greta Doppler (1953);Voice Actors - Dubbing;Dark S01E09
Estúdio VOXMUNDI AUDIOVISUAL – VSI;FALSE;Dubbing Studio;Miscellaneous Companies;Dark S01E09
Ettore Zuim;TRUE;Noah;Voice Actors - Dubbing;Dark S01E09
EVA MULARONEK;TRUE;VISUAL EFFECTS COORDINATORS;Visual Effects;Dark S01E09
FABIAN FUCHS;TRUE;CASHIER;Production Finance and Accounting;Dark S01E09
Fabio Pieri;TRUE;Mix;Dubbing_Sound;Dark S01E09
FABIO SEYDING;TRUE;ASSISTANT VIDEO OPERATORS;Camera and Electrical Department;Dark S01E09
Federal Ministry for Economic Affairs and Energy;FALSE;Supported by:;Miscellaneous Companies;Dark S01E09
FELIX HERMANN;TRUE;DRIVERS;Transportation Department;Dark S01E09
FELIX KRAMER;TRUE;TRONTE NIELSEN 1986;Cast;Dark S01E09
FELIX MATHIAS OTT;TRUE;DAILY CARPENTERS;Art Department;Dark S01E09
FERDINAND DIEPENBROCK;TRUE;SET RUNNERS;Production Department;Dark S01E09
Fernanda Bullara;TRUE;Katharina jovem;Voice Actors - Dubbing;Dark S01E09
Flora Paulita;TRUE;;Voice Actors - Dubbing;Dark S01E09
FLORENCE FÖRSTER;TRUE;SET RUNNERS;Production Department;Dark S01E09
FLORIAN DOERDELMANN;TRUE;LEGAL & BUSINESS AFFAIRS;Legal Department;Dark S01E09
FLORIAN EMMERICH;TRUE;2ND UNIT DOP'S;Cinematographers;Dark S01E09
FLORIAN PANZNER;TRUE;DANIEL KAHNWALD;Cast;Dark S01E09
FLORIAN RADLOFF;TRUE;DAILY SET DRESSERS;Art Department;Dark S01E09
FLORIAN REEH;TRUE;2ND UNIT 1ST ASSISTANTS CAMERA;Camera and Electrical Department;Dark S01E09
FLORIAN SCHWARZ;TRUE;2ND ASSISTANT A-CAMERA;Camera and Electrical Department;Dark S01E09
FLOW JEAN-LOUIS;TRUE;2ND UNIT ELECTRICIANS;Camera and Electrical Department;Dark S01E09
FRANK BORN;TRUE;SCENE PAINTER;Art Department;Dark S01E09
FRANK NOAK;TRUE;DAILY CARPENTERS;Art Department;Dark S01E09
FRANZ HÖFNER;TRUE;SET DRESSERS;Art Department;Dark S01E09
FREDERIKE KARSCH;TRUE;2ND AD'S;Second Unit Directors or Assistant Directors;Dark S01E09
FRIEDA OBERLIN;TRUE;HEAD OF POSTPRODUCTION;Editorial Department;Dark S01E09
Gabriele Meoni;TRUE;Mikkel;Voice Actors - Dubbing;Dark S01E09
GABRIELLA GOBBER;TRUE;2ND UNIT SCRIPT / CONTINUITY;Script and Continuity Department;Dark S01E09
CLEMENS SCHMID;TRUE;DAILIES SUPERVISOR;Editorial Department;Dark S01E09
LOLA KNOBLACH;TRUE;DI SUPERVISOR;Color Department;Dark S01E09
GERMAN MOTION PICTURE FUND;FALSE;PRODUCED WITH THE SUPPORT OF;Production Companies;Dark S01E09
GERO RENNER;TRUE;2ND UNIT BOOM OPERATORS;Sound Department;Dark S01E09
GESA REHREN;TRUE;ART DEPT. COORDINATOR;Art Department;Dark S01E09
GINA ALICE STIEBITZ;TRUE;FRANZISKA DOPPLER;Cast;Dark S01E09
Giorgio Lopez;TRUE;Orologiaio;Voice Actors - Dubbing;Dark S01E09
GLENN KÖNIG;TRUE;KEY GRIP;Camera and Electrical Department;Dark S01E09
Gonzalo Latorraca;TRUE;Director de doblaje;Dubbing;Dark S01E09
Greg Faust;TRUE;Sound Mixers;Dubbing_Sound;Dark S01E09
Gustavo Dardés;TRUE;Ulrich 2019;Voice Actors - Dubbing;Dark S01E09
GWENDOLYN GÖBEL;TRUE;CLAUDIA TIEDEMANN 1953;Cast;Dark S01E09
HANNAH ROOLF;TRUE;DAILY ASST. STAND-BY PROPS ON SET;Property Department;Dark S01E09
HANNES ENGLER;TRUE;2ND ASSISTANT B-CAMERA;Camera and Electrical Department;Dark S01E09
HANNES FRÜH;TRUE;2ND UNIT STANDBY PROP;Property Department;Dark S01E09
HEIKE PAUKETAT;TRUE;SET DRESSERS;Art Department;Dark S01E09
HEIKE WOLF-AURY;TRUE;SET DECORATORS;Set Decorators;Dark S01E09
HEIKO SCHNECK;TRUE;CG ARTISTS;Visual Effects;Dark S01E09
HELENA WEGMANN;TRUE;VISUAL EFFECTS PRODUCERS;Visual Effects;Dark S01E09
HENDRIK SCHIERLOH;TRUE;LEGAL & BUSINESS AFFAIRS;Legal Department;Dark S01E09
HERMANN BEYER;TRUE;HELGE DOPPLER;Cast;Dark S01E09
HOLGER HÄNSKE;TRUE;DAILY SET DRESSERS;Art Department;Dark S01E09
HOLGER LEHNAU;TRUE;2ND UNIT ELECTRICIANS;Camera and Electrical Department;Dark S01E09
HOLGER OHLHUS;TRUE;2ND UNIT ELECTRICIANS;Camera and Electrical Department;Dark S01E09
HUBERT BÖCK;TRUE;DAILY SET DRESSERS;Art Department;Dark S01E09
HUBERT BURKHARDT;TRUE;PRODUCTION FINANCE;Production Finance and Accounting;Dark S01E09
INA STAHNSDORF-NOVOTNY;TRUE;ACCOUNTANT;Production Finance and Accounting;Dark S01E09
INES KRAMER;TRUE;SET DESIGNERS;Art Department;Dark S01E09
INES KRÜGER;TRUE;SENIOR COMPOSITING ARTISTS;Visual Effects;Dark S01E09
INGA ROSS;TRUE;DAILY MAKE-UP & HAIR;Makeup Department;Dark S01E09
Irene Miras;TRUE;MARTHA;Voice Actors - Dubbing;Dark S01E09
ISABEL FUCHS;TRUE;ASSISTANT PROP MASTER;Property Department;Dark S01E09
ISABELL CISSARZ;TRUE;DAILY AD'S;Second Unit Directors or Assistant Directors;Dark S01E09
Isabella Guarnieri;TRUE;;Voice Actors - Dubbing;Dark S01E09
Isaura Gomes;TRUE;;Voice Actors - Dubbing;Dark S01E09
Jack Maeby;TRUE;Adaptors;Dubbing;Dark S01E09
JAN BÖHME;TRUE;2ND UNIT DAILY AD'S;Second Unit Directors or Assistant Directors;Dark S01E09
JAN BÖHME;TRUE;DAILY AD'S;Second Unit Directors or Assistant Directors;Dark S01E09
JAN ENDERLEIN;TRUE;UNIT MANAGER;Production Managers;Dark S01E09
JAN LUO;TRUE;2ND UNIT DRIVERS;Transportation Department;Dark S01E09
JAN RASKIN;TRUE;2ND UNIT KEY GRIP;Camera and Electrical Department;Dark S01E09
JAN RASMUS VOSS;TRUE;DAILY PHOTOGRAPHER;Camera and Electrical Department;Dark S01E09
JAN ROTH;TRUE;CG ARTISTS;Visual Effects;Dark S01E09
JAN ZEGENHAGEN;TRUE;SET DRESSERS;Art Department;Dark S01E09
JANA THEIS;TRUE;LEGAL & BUSINESS AFFAIRS;Legal Department;Dark S01E09
JAN-FREDERIK WOCKENFUSS;TRUE;DAILY CAMERA ASSISTANTS;Camera and Electrical Department;Dark S01E09
JANTJE FRIESE;TRUE;CREATED BY;Writers;Dark S01E09
JANTJE FRIESE;TRUE;EXECUTIVE PRODUCERS;Producers;Dark S01E09
JANTJE FRIESE;TRUE;WRITTEN BY;Writers;Dark S01E09
JASMIN OTT;TRUE;DAILY SET DEC BUYERS;Art Department;Dark S01E09
Javier Gómez;TRUE;Noah;Voice Actors - Dubbing;Dark S01E09
Jean-François ANNE;TRUE;IngÃ©nieur du son montage;Dubbing_Sound;Dark S01E09
Jeffrey Pierce;TRUE;Ulrich Nielsen (2019);Voice Actors - Dubbing;Dark S01E09
JENNY JARUS;TRUE;SET RUNNERS;Production Department;Dark S01E09
JENS GAUBE;TRUE;DAILY SET DRESSERS;Art Department;Dark S01E09
JOHANNES BOGENHAUSER;TRUE;SENIOR COMPOSITING ARTISTS;Visual Effects;Dark S01E09
JOHANNES GRELLMANN;TRUE;ASSISTANT SET MANAGERS;Production Department;Dark S01E09
JOHANNES RÖCKL;TRUE;DI ENGINEERS;Color Department;Dark S01E09
Jonathan Abarca;TRUE;Recording Engineer;Dubbing_Sound;Dark S01E09
Jonathan LERICHE;TRUE;IngÃ©nieur du son mixage;Dubbing_Sound;Dark S01E09
JÖRDIS TRIEBEL;TRUE;KATHARINA NIELSEN;Cast;Dark S01E09
JÖRG ELSNER;TRUE;SOUND EDITORS;Sound Department;Dark S01E09
JÖRG RICHTER;TRUE;SFX TECHNICIANS;Special Effects;Dark S01E09
JÖRG WIDMER;TRUE;2ND UNIT DOP'S;Cinematographers;Dark S01E09
JOSHIO MARLON;TRUE;TRONTE NIELSEN 1953;Cast;Dark S01E09
JULIA BAUMANN;TRUE;DAILY MAKE-UP & HAIR;Makeup Department;Dark S01E09
JULIA HUEBENER;TRUE;DAILY COSTUMERS;Costume and Wardrobe Department;Dark S01E09
JULIA LENZINGER;TRUE;ASSISTANTS TO LINE PRODUCER;Production Department;Dark S01E09
JULIA TERJUNG;TRUE;STILLS PHOTOGRAPHERS;Camera and Electrical Department;Dark S01E09
JULIAN FELGITSCH;TRUE;2ND UNIT 2ND ASSISTANTS CAMERA;Camera and Electrical Department;Dark S01E09
JULIKA JENKINS;TRUE;CLAUDIA TIEDEMANN 1986;Cast;Dark S01E09
JUSTYNA MUESCH;TRUE;EXECUTIVE PRODUCERS;Producers;Dark S01E09
JUTTA DICKEL;TRUE;SCRIPT / CONTINUITY;Script and Continuity Department;Dark S01E09
KAI LACHMANN;TRUE;2ND UNIT C-CAMERA ASSISTANT CAMERA;Camera and Electrical Department;Dark S01E09
KARIM RAHMANI;TRUE;2ND UNIT 1ST ASSISTANTS CAMERA;Camera and Electrical Department;Dark S01E09
KARIN FALTHAUSER;TRUE;AGER / DYER;Costume and Wardrobe Department;Dark S01E09
KAROLINE EICHHORN;TRUE;CHARLOTTE DOPPLER;Cast;Dark S01E09
KARSTEN CIZMOWSKI;TRUE;DAILY CARPENTERS;Art Department;Dark S01E09
KATHARINA BIRKENFELD;TRUE;SET DECORATORS;Set Decorators;Dark S01E09
KATHARINA DIESSNER;TRUE;C-CAMERA OPERATOR;Camera and Electrical Department;Dark S01E09
KATHARINA KLUGE;TRUE;SET DECORATOR ASSISTANTS;Art Department;Dark S01E09
KATHARINA LEBEGERN;TRUE;JUNIOR COMPOSITING ARTISTS;Visual Effects;Dark S01E09
KATHARINA WREDE;TRUE;SET DEC PA;Art Department;Dark S01E09
KATJA MÜLLER;TRUE;VFX PRODUCER;Visual Effects;Dark S01E09
KATRIN BERTHOLD;TRUE;DAILY COSTUMERS;Costume and Wardrobe Department;Dark S01E09
KAYFU CATERING;FALSE;CATERING;Miscellaneous Companies;Dark S01E09
KAY-UWE SCHUCHERT;TRUE;DI ENGINEERS;Color Department;Dark S01E09
KELLY LUEGENBIEHL;TRUE;EXECUTIVE PRODUCERS;Producers;Dark S01E09
KERSTIN FELDMANN;TRUE;COSTUME ASSISTANTS;Costume and Wardrobe Department;Dark S01E09
KERSTINA SCHEMMEL;TRUE;DAILY COSTUMERS;Costume and Wardrobe Department;Dark S01E09
KHALIL HAREB;TRUE;DAILY AD'S;Second Unit Directors or Assistant Directors;Dark S01E09
KORBINIAN HOPFNER;TRUE;FX ARTISTS;Visual Effects;Dark S01E09
KRISCHAN HINTZ;TRUE;2ND UNIT VIDEO OPERATORS;Camera and Electrical Department;Dark S01E09
KRISTINA LONERGAN;TRUE;DAILY PROP BUYERS;Art Department;Dark S01E09
LARS GMEHLING;TRUE;1ST AD;Second Unit Directors or Assistant Directors;Dark S01E09
LARS HINTZE;TRUE;SFX TECHNICIANS;Special Effects;Dark S01E09
LARS RENNERT;TRUE;ASSISTANT VIDEO OPERATORS;Camera and Electrical Department;Dark S01E09
LARS RICHTER;TRUE;1ST ASSISTANT A-CAMERA;Camera and Electrical Department;Dark S01E09
LARS VOIGTLƒNDER;TRUE;2ND UNIT GAFFERS;Camera and Electrical Department;Dark S01E09
Laura BLANC;TRUE;Charlotte;Voice Actors - Dubbing;Dark S01E09
LAURA RITTER;TRUE;2ND UNIT SCRIPT / CONTINUITY;Script and Continuity Department;Dark S01E09
LEA WILLKOWSKY;TRUE;SECRETARY JASMIN TREWEN;Cast;Dark S01E09
LENA URZENDOWSKY;TRUE;INES KAHNWALD 1953;Cast;Dark S01E09
LEON SCHMIDL;TRUE;COMPOSITORS;Visual Effects;Dark S01E09
Leonardo Camillo;TRUE;;Voice Actors - Dubbing;Dark S01E09
Leonardo José;TRUE;;Voice Actors - Dubbing;Dark S01E09
LEOPOLD HORNUNG;TRUE;TORBEN WÃ·LLER;Cast;Dark S01E09
Leticia Quinto;TRUE;;Voice Actors - Dubbing;Dark S01E09
LEWIS MORISON;TRUE;MUSIC EDITOR;Music Department;Dark S01E09
SVEN NURI;TRUE;POST-PRODUCTION SUPERVISOR;Editorial Department;Dark S01E09
LISA KREUZER;TRUE;CLAUDIA TIEDEMANN;Cast;Dark S01E09
LISA SCHRIMPF;TRUE;KEY COSTUMER;Costume and Wardrobe Department;Dark S01E09
LISA TIGGES;TRUE;DAILY SET DEC BUYERS;Art Department;Dark S01E09
LISA VICARI;TRUE;MARTHA NIELSEN;Cast;Dark S01E09
LISSY KNAUER;TRUE;DAILIES COORDINATOR;Editorial Department;Dark S01E09
LOA MAYRA DUMONG;TRUE;FX ARTISTS;Visual Effects;Dark S01E09
LOUIS HOFMANN;TRUE;JONAS KAHNWALD;Cast;Dark S01E09
Lucas Gama;TRUE;;Voice Actors - Dubbing;Dark S01E09
Lucia Helena;TRUE;Claudia;Voice Actors - Dubbing;Dark S01E09
Lucia Helena;TRUE;DireÃ§Ã£o;Dubbing;Dark S01E09
Luciana Falcón;TRUE;Katharina 2019;Voice Actors - Dubbing;Dark S01E09
LUDGER BÖKELMANN;TRUE;ULRICH NIELSEN 1986;Cast;Dark S01E09
Ludovica Doni;TRUE;Dialoghi italiani;Dubbing;Dark S01E09
LUISE HEYER;TRUE;DORIS TIEDEMANN;Cast;Dark S01E09
LUKAS SCHWABE;TRUE;COMPOSITORS;Visual Effects;Dark S01E09
LUTZ ERKENS;TRUE;DAILY 2ND UNIT COSTUMERS;Costume and Wardrobe Department;Dark S01E09
LUTZ LEMKE;TRUE;TITLE AND GRAPHICS DESIGN BY;Visual Effects;Dark S01E09
LYDIA MARIA MAKRIDES;TRUE;REGINA TIEDEMANN 1986;Cast;Dark S01E09
LYDIA PAKEBUSCH;TRUE;BASE PA;Production Department;Dark S01E09
LYNN FAINCHTEIN;TRUE;MUSIC SUPERVISION BY;Music Department;Dark S01E09
Mabel Cezar;TRUE;;Voice Actors - Dubbing;Dark S01E09
Madeline Baugh;TRUE;Katharina Nielsen (1986);Voice Actors - Dubbing;Dark S01E09
Maël DUPON;TRUE;IngÃ©nieur du son record;Dubbing_Sound;Dark S01E09
MAJA SCHÖNE;TRUE;HANNAH KAHNWALD;Cast;Dark S01E09
MALTE MANN;TRUE;DAILY SET DEC DRIVERS;Transportation Department;Dark S01E09
MAMA FILMCATERING;FALSE;CATERING;Miscellaneous Companies;Dark S01E09
Mara Campanelli;TRUE;Claudia 1986;Voice Actors - Dubbing;Dark S01E09
MARC DROBNY;TRUE;2ND UNIT SET MANAGER;Production Managers;Dark S01E09
MARC O. SENG;TRUE;WRITTEN BY;Writers;Dark S01E09
MARC WIESENTHAL;TRUE;2ND UNIT ELECTRICIANS;Camera and Electrical Department;Dark S01E09
Marcel Navarro;TRUE;JONAS;Voice Actors - Dubbing;Dark S01E09
Marek Ciunel;TRUE;Lektor;Voice Actors - Dubbing;Dark S01E09
María Sieso;TRUE;TRADUCTOR;Dubbing;Dark S01E09
MARIAN MÄCHLER;TRUE;2ND UNIT DAILY AD'S;Second Unit Directors or Assistant Directors;Dark S01E09
MARIE AHRENDT;TRUE;CHAPERONE;Additional Crew;Dark S01E09
MARIE FISCHER;TRUE;COSTUME TRAINEES;Costume and Wardrobe Department;Dark S01E09
MARIO UY;TRUE;SFX ARMORER;Special Effects;Dark S01E09
MARK WASCHKE;TRUE;NOAH;Cast;Dark S01E09
MARKUS HOLLINGER;TRUE;DAILY MAKE-UP & HAIR;Makeup Department;Dark S01E09
MARLEEN STURM;TRUE;ART DEPT. TRAINEE;Art Department;Dark S01E09
Marta Kędziora;TRUE;DÅºwiÄk i montaÅ¼;Dubbing_Sound;Dark S01E09
