nome;is_person;role_detail;role_group;numero_episodio;imdb_nconst_88;nome_corretto_imdb_88;imdb_action_88;imdb_nconst_90;nome_corretto_imdb_90;imdb_action_90;imdb_nconst_92;nome_corretto_imdb_92;imdb_action_92;imdb_nconst_94;nome_corretto_imdb_94;imdb_action_94;imdb_nconst_96;nome_corretto_imdb_96;imdb_action_96;imdb_nconst_98;nome_corretto_imdb_98;imdb_action_98;imdb_nconst_99;nome_corretto_imdb_99;imdb_action_99;HUMAN nome imdb corretto;HUMAN codice imdb corretto
NATALIYA SKARZHEPA;TRUE;Costume Supervisor;Costume and Wardrobe Department;Chernobyl S01E01;nm12562248;Natalia Skarzhepa;M;nm12562248;Natalia Skarzhepa;M;nm12562248;Natalia Skarzhepa;M;nm12562248;Natalia Skarzhepa;M;nm12562248;Natalia Skarzhepa;M;;NATALIYA SKARZHEPA;X;;NATALIYA SKARZHEPA;X;;
NINA GOLD;TRUE;Casting by;Casting Directors;Chernobyl S01E01;nm0002274;Nina Gold;A;nm0002274;Nina Gold;A;nm0002274;Nina Gold;A;nm0002274;Nina Gold;A;nm0002274;Nina Gold;A;nm0002274;Nina Gold;A;nm0002274;Nina Gold;A;;
NATASHA NIKOLIC-DUNLOP;TRUE;Make-Up Supervisor;Makeup Department;Chernobyl S01E01;nm2073633;Natasha Nikolic-Dunlop;A;nm2073633;Natasha Nikolic-Dunlop;A;nm2073633;Natasha Nikolic-Dunlop;A;nm2073633;Natasha Nikolic-Dunlop;A;nm2073633;Natasha Nikolic-Dunlop;A;nm2073633;Natasha Nikolic-Dunlop;A;nm2073633;Natasha Nikolic-Dunlop;A;;
Nathalie CRUCHON;TRUE;Secrétaires de production;Production Department;Maigret S03E01;nm0189928;Nathalie Cruchon;A;nm0189928;Nathalie Cruchon;A;nm0189928;Nathalie Cruchon;A;nm0189928;Nathalie Cruchon;A;nm0189928;Nathalie Cruchon;A;nm0189928;Nathalie Cruchon;A;nm0189928;Nathalie Cruchon;A;;
NATHALIE TISSIER;TRUE;Maquillage;Makeup Department;Amelie;nm0864398;Nathalie Tissier;A;nm0864398;Nathalie Tissier;A;nm0864398;Nathalie Tissier;A;nm0864398;Nathalie Tissier;A;nm0864398;Nathalie Tissier;A;nm0864398;Nathalie Tissier;A;nm0864398;Nathalie Tissier;A;;
NATHAN BOXER;TRUE;Production Recordists;Sound Department;Apocalypse Now;nm0101537;Nathan Boxer;A;nm0101537;Nathan Boxer;A;nm0101537;Nathan Boxer;A;nm0101537;Nathan Boxer;A;nm0101537;Nathan Boxer;A;nm0101537;Nathan Boxer;A;nm0101537;Nathan Boxer;A;;
Nathanael Poupin;TRUE;Business & Legal Affairs;Legal Department;Romanzo criminale S01E01;nm3980544;Nathanaël Poupin;A;nm3980544;Nathanaël Poupin;A;nm3980544;Nathanaël Poupin;A;nm3980544;Nathanaël Poupin;A;nm3980544;Nathanaël Poupin;A;nm3980544;Nathanaël Poupin;A;nm3980544;Nathanaël Poupin;A;;
NATI JUNCAL PORTAS;TRUE;Coordinadoras de ProducciÃ³n;Production Department;El desorden que dejas S01E03;;NATI JUNCAL PORTAS;X;;NATI JUNCAL PORTAS;X;;NATI JUNCAL PORTAS;X;;NATI JUNCAL PORTAS;X;;NATI JUNCAL PORTAS;X;;NATI JUNCAL PORTAS;X;;NATI JUNCAL PORTAS;X;;
Neeraj;TRUE;written by;Soundtrack;Eternal Sunshine of the Spotless Mind;nm7299879;Neeraj;A;nm7299879;Neeraj;A;nm7299879;Neeraj;A;nm7299879;Neeraj;A;nm7299879;Neeraj;A;nm7299879;Neeraj;A;nm7299879;Neeraj;A;;
NEIL FLOYD;TRUE;Graphic Designers;Art Department;Chernobyl S01E01;nm2107334;Neil Floyd;A;nm2107334;Neil Floyd;A;nm2107334;Neil Floyd;A;nm2107334;Neil Floyd;A;nm2107334;Neil Floyd;A;nm2107334;Neil Floyd;A;nm2107334;Neil Floyd;A;;
NEIL GAHM;TRUE;Propmaker Foremen;Property Department;Fight Club;nm0301117;Neil Gahm;A;nm0301117;Neil Gahm;A;nm0301117;Neil Gahm;A;nm0301117;Neil Gahm;A;nm0301117;Neil Gahm;A;nm0301117;Neil Gahm;A;nm0301117;Neil Gahm;A;;
NEIL ROBINSON;TRUE;;Cast;8 1-2;;NEIL ROBINSON;X;;NEIL ROBINSON;X;;NEIL ROBINSON;X;;NEIL ROBINSON;X;;NEIL ROBINSON;X;;NEIL ROBINSON;X;;NEIL ROBINSON;X;;
NELE TREBS;TRUE;KATHARINA NIELSEN 1986;Cast;Dark S01E09;nm3047077;Nele Trebs;A;nm3047077;Nele Trebs;A;nm3047077;Nele Trebs;A;nm3047077;Nele Trebs;A;nm3047077;Nele Trebs;A;nm3047077;Nele Trebs;A;nm3047077;Nele Trebs;A;;
NELE-TABEA REINEKE;TRUE;GRAPHIC ARTISTS;Art Department;Dark S01E09;nm4294006;Nele-Tabea Reineke;A;nm4294006;Nele-Tabea Reineke;A;nm4294006;Nele-Tabea Reineke;A;nm4294006;Nele-Tabea Reineke;A;nm4294006;Nele-Tabea Reineke;A;nm4294006;Nele-Tabea Reineke;A;nm4294006;Nele-Tabea Reineke;A;;
Nello D’Isa;TRUE;;Thanks;La grande bellezza;;Nello D’Isa;X;;Nello D’Isa;X;;Nello D’Isa;X;;Nello D’Isa;X;;Nello D’Isa;X;;Nello D’Isa;X;;Nello D’Isa;X;;
NELLO MENICONI;TRUE;DIRETTORE DI PRODUZIONE;Production Managers;8 1-2;nm0579635;Nello Meniconi;A;nm0579635;Nello Meniconi;A;nm0579635;Nello Meniconi;A;nm0579635;Nello Meniconi;A;nm0579635;Nello Meniconi;A;nm0579635;Nello Meniconi;A;nm0579635;Nello Meniconi;A;;
NERINGA BENAITIENE;TRUE;Breakdown Artists;Costume and Wardrobe Department;Chernobyl S01E01;nm2659309;Neringa Benaitiene;A;nm2659309;Neringa Benaitiene;A;nm2659309;Neringa Benaitiene;A;nm2659309;Neringa Benaitiene;A;nm2659309;Neringa Benaitiene;A;nm2659309;Neringa Benaitiene;A;nm2659309;Neringa Benaitiene;A;;
NESSA ZHANG MINGFANG;TRUE;3D Artists;Visual Effects;Chernobyl S01E01;nm11319493;Nessa Mingfang Zhang;M;nm11319493;Nessa Mingfang Zhang;M;nm11319493;Nessa Mingfang Zhang;M;nm11319493;Nessa Mingfang Zhang;M;nm11319493;Nessa Mingfang Zhang;M;nm11319493;Nessa Mingfang Zhang;M;nm11319493;Nessa Mingfang Zhang;M;;
NICHOLAS BROOKS;TRUE;Digital Compositing;Visual Effects;Fight Club;;NICHOLAS BROOKS;X;;NICHOLAS BROOKS;X;;NICHOLAS BROOKS;X;;NICHOLAS BROOKS;X;;NICHOLAS BROOKS;X;;NICHOLAS BROOKS;X;;NICHOLAS BROOKS;X;;
NICHOLAS C. JOHN;TRUE;Stand-by Painter;Art Department;Se7en;nm0424208;Nicholas C. John;A;nm0424208;Nicholas C. John;A;nm0424208;Nicholas C. John;A;nm0424208;Nicholas C. John;A;nm0424208;Nicholas C. John;A;nm0424208;Nicholas C. John;A;nm0424208;Nicholas C. John;A;;
NICHOLAS R. MILLER;TRUE;construction coordinators;Art Department;Eternal Sunshine of the Spotless Mind;;NICHOLAS R. MILLER;X;;NICHOLAS R. MILLER;X;nm3493444;Nicholas Miller;M;nm3493444;Nicholas Miller;M;;NICHOLAS R. MILLER;X;;NICHOLAS R. MILLER;X;;NICHOLAS R. MILLER;X;Nick Miller;nm0589065
NICHOLAS STEWART;TRUE;Propmakers;Property Department;Se7en;nm0829694;Nicholas Stewart;A;nm0829694;Nicholas Stewart;A;nm0829694;Nicholas Stewart;A;nm0829694;Nicholas Stewart;A;nm0829694;Nicholas Stewart;A;nm0829694;Nicholas Stewart;A;nm0829694;Nicholas Stewart;A;;
Emilio White;TRUE;Field Assistants;Additional Crew;Planet Earth S01E10;nm1771332;Emilio White;A;nm1771332;Emilio White;A;nm1771332;Emilio White;A;nm1771332;Emilio White;A;nm1771332;Emilio White;A;nm1771332;Emilio White;A;nm1771332;Emilio White;A;;
NICK HEYWARD;TRUE;Written by (Love Plus One);Soundtrack;Se7en;nm1705061;Nick Heyward;A;nm1705061;Nick Heyward;A;nm1705061;Nick Heyward;A;nm1705061;Nick Heyward;A;nm1705061;Nick Heyward;A;nm1705061;Nick Heyward;A;nm1705061;Nick Heyward;A;;
Jeff Wilson;TRUE;Field Assistants;Additional Crew;Planet Earth S01E10;;Jeff Wilson;X;;Jeff Wilson;X;;Jeff Wilson;X;;Jeff Wilson;X;;Jeff Wilson;X;;Jeff Wilson;X;;Jeff Wilson;X;;
NICK TIMMS;TRUE;Online Editor;Editorial Department;Chernobyl S01E01;;NICK TIMMS;X;;NICK TIMMS;X;;NICK TIMMS;X;;NICK TIMMS;X;;NICK TIMMS;X;;NICK TIMMS;X;;NICK TIMMS;X;;
NICK VIDAR;TRUE;music programming;Music Department;Eternal Sunshine of the Spotless Mind;nm0896440;Nick Vidar;A;nm0896440;Nick Vidar;A;nm0896440;Nick Vidar;A;nm0896440;Nick Vidar;A;nm0896440;Nick Vidar;A;nm0896440;Nick Vidar;A;nm0896440;Nick Vidar;A;;
NICO BALLY;TRUE;Company Grips;Camera and Electrical Department;Fight Club;nm0050945;Nico Bally;A;nm0050945;Nico Bally;A;nm0050945;Nico Bally;A;nm0050945;Nico Bally;A;nm0050945;Nico Bally;A;nm0050945;Nico Bally;A;nm0050945;Nico Bally;A;;
NICO BALLY;TRUE;Grips;Camera and Electrical Department;Se7en;nm0050945;Nico Bally;A;nm0050945;Nico Bally;A;nm0050945;Nico Bally;A;nm0050945;Nico Bally;A;nm0050945;Nico Bally;A;nm0050945;Nico Bally;A;nm0050945;Nico Bally;A;;
Nico Ciricugno;TRUE;Viola;Music Department;La grande bellezza;nm9683477;Nico Ciricugno;A;nm9683477;Nico Ciricugno;A;nm9683477;Nico Ciricugno;A;nm9683477;Nico Ciricugno;A;nm9683477;Nico Ciricugno;A;nm9683477;Nico Ciricugno;A;nm9683477;Nico Ciricugno;A;;
Nico Hohlfeld;TRUE;Schnitt;Dubbing_Sound;El desorden que dejas S01E03;;Nico Hohlfeld;X;;Nico Hohlfeld;X;;Nico Hohlfeld;X;;Nico Hohlfeld;X;;Nico Hohlfeld;X;;Nico Hohlfeld;X;;Nico Hohlfeld;X;;
NICOLA BADALUCCO;TRUE;soggetto di;Writers;La piovra S01E02;nm0045938;Nicola Badalucco;A;nm0045938;Nicola Badalucco;A;nm0045938;Nicola Badalucco;A;nm0045938;Nicola Badalucco;A;nm0045938;Nicola Badalucco;A;nm0045938;Nicola Badalucco;A;nm0045938;Nicola Badalucco;A;;
NICOLA GEBHARD;TRUE;SEAMSTRESS;Costume and Wardrobe Department;Dark S01E09;nm9238665;Nicola Gebhard;A;nm9238665;Nicola Gebhard;A;nm9238665;Nicola Gebhard;A;nm9238665;Nicola Gebhard;A;nm9238665;Nicola Gebhard;A;nm9238665;Nicola Gebhard;A;nm9238665;Nicola Gebhard;A;;
Nicola Giuliano;TRUE;prodotto da;Producers;La grande bellezza;nm0321333;Nicola Giuliano;A;nm0321333;Nicola Giuliano;A;nm0321333;Nicola Giuliano;A;nm0321333;Nicola Giuliano;A;nm0321333;Nicola Giuliano;A;nm0321333;Nicola Giuliano;A;nm0321333;Nicola Giuliano;A;;
NICOLA MORROW;TRUE;Production Managers;Production Managers;Chernobyl S01E01;nm1465045;Nicola Morrow;A;nm1465045;Nicola Morrow;A;nm1465045;Nicola Morrow;A;nm1465045;Nicola Morrow;A;nm1465045;Nicola Morrow;A;nm1465045;Nicola Morrow;A;nm1465045;Nicola Morrow;A;;
Nicola Scamarcio;TRUE;Aiuti segr. di produzione;Production Department;La grande bellezza;;Nicola Scamarcio;X;;Nicola Scamarcio;X;;Nicola Scamarcio;X;;Nicola Scamarcio;X;;Nicola Scamarcio;X;;Nicola Scamarcio;X;;Nicola Scamarcio;X;;
NICOLÁS AIKIN;TRUE;Traducciones InglÃ¨s;Dubbing;El desorden que dejas S01E03;nm8031256;Nicholas Aikin;M;nm8031256;Nicholas Aikin;M;nm8031256;Nicholas Aikin;M;nm8031256;Nicholas Aikin;M;nm8031256;Nicholas Aikin;M;;NICOLÁS AIKIN;X;;NICOLÁS AIKIN;X;;
Nicolas BRIDEL;TRUE;Médecin du Majestic;Cast;Maigret S03E01;nm0108643;Nicolas Bridel;A;nm0108643;Nicolas Bridel;A;nm0108643;Nicolas Bridel;A;nm0108643;Nicolas Bridel;A;nm0108643;Nicolas Bridel;A;nm0108643;Nicolas Bridel;A;nm0108643;Nicolas Bridel;A;;
Nicolas Davy;TRUE;RÃ©gisseurs adjoints;Production Department;Amelie;;Nicolas Davy;X;;Nicolas Davy;X;;Nicolas Davy;X;;Nicolas Davy;X;;Nicolas Davy;X;;Nicolas Davy;X;;Nicolas Davy;X;;
NICOLAS FEJOZ;TRUE;Boom Operator;Sound Department;Chernobyl S01E01;nm1881960;Nicolas Fejoz;A;nm1881960;Nicolas Fejoz;A;nm1881960;Nicolas Fejoz;A;nm1881960;Nicolas Fejoz;A;nm1881960;Nicolas Fejoz;A;nm1881960;Nicolas Fejoz;A;nm1881960;Nicolas Fejoz;A;;
Nicolas Nicole;TRUE;Stagiaires;Editorial Department;Amelie;;Nicolas Nicole;X;;Nicolas Nicole;X;;Nicolas Nicole;X;;Nicolas Nicole;X;;Nicolas Nicole;X;;Nicolas Nicole;X;;Nicolas Nicole;X;;
Nicolas Pele;TRUE;Traitement numÃ©rique;Visual Effects;Amelie;;Nicolas Pele;X;;Nicolas Pele;X;;Nicolas Pele;X;;Nicolas Pele;X;;Nicolas Pele;X;;Nicolas Pele;X;;Nicolas Pele;X;;
NICOLAS ROLKE;TRUE;COMPOSITORS;Visual Effects;Dark S01E09;;NICOLAS ROLKE;X;;NICOLAS ROLKE;X;;NICOLAS ROLKE;X;;NICOLAS ROLKE;X;;NICOLAS ROLKE;X;;NICOLAS ROLKE;X;;NICOLAS ROLKE;X;;
NICOLE EMRICH;TRUE;SET DEC BUYERS;Art Department;Dark S01E09;;NICOLE EMRICH;X;;NICOLE EMRICH;X;;NICOLE EMRICH;X;;NICOLE EMRICH;X;;NICOLE EMRICH;X;;NICOLE EMRICH;X;;NICOLE EMRICH;X;;
Nicole Heitzmann;TRUE;Administratrice de production;Production Managers;Amelie;;Nicole Heitzmann;X;;Nicole Heitzmann;X;;Nicole Heitzmann;X;;Nicole Heitzmann;X;;Nicole Heitzmann;X;;Nicole Heitzmann;X;;Nicole Heitzmann;X;;
NICOLE JAMET;TRUE;;Cast;La piovra S01E02;nm0417088;Nicole Jamet;A;nm0417088;Nicole Jamet;A;nm0417088;Nicole Jamet;A;nm0417088;Nicole Jamet;A;nm0417088;Nicole Jamet;A;nm0417088;Nicole Jamet;A;nm0417088;Nicole Jamet;A;;
Nicoletta Taranta;TRUE;Costumi;Costume Designers;Romanzo criminale S01E01;nm0850210;Nicoletta Taranta;A;nm0850210;Nicoletta Taranta;A;nm0850210;Nicoletta Taranta;A;nm0850210;Nicoletta Taranta;A;nm0850210;Nicoletta Taranta;A;nm0850210;Nicoletta Taranta;A;nm0850210;Nicoletta Taranta;A;;
Nigel Dunstone;TRUE;The BBC wishes to thank;Thanks;Planet Earth S01E10;;Nigel Dunstone;X;;Nigel Dunstone;X;;Nigel Dunstone;X;;Nigel Dunstone;X;;Nigel Dunstone;X;;Nigel Dunstone;X;;Nigel Dunstone;X;;
NIGEL HAWTHORNE;TRUE;;Cast;Yes, Prime Minister S01E08;nm0001329;Nigel Hawthorne;A;nm0001329;Nigel Hawthorne;A;nm0001329;Nigel Hawthorne;A;nm0001329;Nigel Hawthorne;A;nm0001329;Nigel Hawthorne;A;nm0001329;Nigel Hawthorne;A;nm0001329;Nigel Hawthorne;A;;
NIGEL HAWTHORNE;TRUE;;Cast;Yes, Prime Minister S01E08;nm0001329;Nigel Hawthorne;A;nm0001329;Nigel Hawthorne;A;nm0001329;Nigel Hawthorne;A;nm0001329;Nigel Hawthorne;A;nm0001329;Nigel Hawthorne;A;nm0001329;Nigel Hawthorne;A;nm0001329;Nigel Hawthorne;A;;
PIERRE-JACQUES BENICHOU;TRUE;Casting;Casting Directors;Amelie;nm0071170;Pierre-Jacques Bénichou;A;nm0071170;Pierre-Jacques Bénichou;A;nm0071170;Pierre-Jacques Bénichou;A;nm0071170;Pierre-Jacques Bénichou;A;nm0071170;Pierre-Jacques Bénichou;A;nm0071170;Pierre-Jacques Bénichou;A;nm0071170;Pierre-Jacques Bénichou;A;;
NIKI TURPIN;TRUE;Lead Compositors;Visual Effects;Chernobyl S01E01;;NIKI TURPIN;X;;NIKI TURPIN;X;;NIKI TURPIN;X;;NIKI TURPIN;X;;NIKI TURPIN;X;;NIKI TURPIN;X;;NIKI TURPIN;X;;
John Pike;TRUE;Field Assistants;Additional Crew;Planet Earth S01E10;;John Pike;X;;John Pike;X;;John Pike;X;;John Pike;X;;John Pike;X;;John Pike;X;;John Pike;X;;
O XARDIN DE ÁRBORE;FALSE;Catering;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
OCTOCAMVISION;FALSE;Dron;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
ZOETROPE CORPORATION;FALSE;Copyright;Production Companies;Apocalypse Now;;;;;;;;;;;;;;;;;;;;;;;
NETFLIX;FALSE;PRESENTS;Production Companies;Dark S01E09;;;;;;;;;;;;;;;;;;;;;;;
ZOETROPE MUSIC COMPANY;FALSE;;Production Companies;Apocalypse Now;;;;;;;;;;;;;;;;;;;;;;;
THAMES;FALSE;COLOUR PRODUCTION;Production Companies;The World At War S01E03;;;;;;;;;;;;;;;;;;;;;;;
ESCORT CINE TV;FALSE;una produzione;Production Companies;La piovra S01E02;;;;;;;;;;;;;;;;;;;;;;;
EURIMAGES;FALSE;con il supporto di;Production Companies;La grande bellezza;;;;;;;;;;;;;;;;;;;;;;;
WORD GAMES;FALSE;;Production Companies;Chernobyl S01E01;;;;;;;;;;;;;;;;;;;;;;;
NIKOLAUS SUMMERER;TRUE;DIRECTOR OF PHOTOGRAPHY;Cinematographers;Dark S01E09;nm0838624;Nikolaus Summerer;A;nm0838624;Nikolaus Summerer;A;nm0838624;Nikolaus Summerer;A;nm0838624;Nikolaus Summerer;A;nm0838624;Nikolaus Summerer;A;nm0838624;Nikolaus Summerer;A;nm0838624;Nikolaus Summerer;A;;
HBO;FALSE;Miniseries;Production Companies;Chernobyl S01E01;;;;;;;;;;;;;;;;;;;;;;;
RAI RADIOTELEVISIONE ITALIANA;FALSE;presenta;Production Companies;La piovra S01E02;;;;;;;;;;;;;;;;;;;;;;;
Centre National de la Cinématographie;FALSE;avec la participation du;Production Companies;Maigret S03E01;;;;;;;;;;;;;;;;;;;;;;;
Télévision Belge;FALSE;en co-production avec;Production Companies;Maigret S03E01;;;;;;;;;;;;;;;;;;;;;;;
TAURUS FILM;FALSE;In association with;Production Companies;Fight Club;;;;;;;;;;;;;;;;;;;;;;;
REGENCY;FALSE;;Production Companies;Fight Club;;;;;;;;;;;;;;;;;;;;;;;
LA RTBF;FALSE;en co-production avec;Production Companies;Maigret S03E01;;;;;;;;;;;;;;;;;;;;;;;
REGENCY ENTERPRISES;FALSE;present;Production Companies;Fight Club;;;;;;;;;;;;;;;;;;;;;;;
Regency Entertainment (USA), Inc.;FALSE;Copyright;Production Companies;Fight Club;;;;;;;;;;;;;;;;;;;;;;;
Regione Lazio;FALSE;opera realizzata con il sostegno della;Production Companies;La grande bellezza;;;;;;;;;;;;;;;;;;;;;;;
Word Games;FALSE;A...production;Production Companies;Chernobyl S01E01;;;;;;;;;;;;;;;;;;;;;;;
FRANCE 2;FALSE;;Production Companies;Maigret S03E01;;;;;;;;;;;;;;;;;;;;;;;
NEW LINE CINEMA;FALSE;PRESENTS;Production Companies;Se7en;;;;;;;;;;;;;;;;;;;;;;;
Tapioca Films;FALSE;;Production Companies;Amelie;;;;;;;;;;;;;;;;;;;;;;;
NHK;FALSE;A Co-Production;Production Companies;Planet Earth S01E10;;;;;;;;;;;;;;;;;;;;;;;
E.C. Télévision Paris;FALSE;Une production;Production Companies;Maigret S03E01;;;;;;;;;;;;;;;;;;;;;;;
DUNE;FALSE;Une production;Production Companies;Maigret S03E01;;;;;;;;;;;;;;;;;;;;;;;
LA TELEVISION SUISSE ROMANDE;FALSE;Une production;Production Companies;Maigret S03E01;;;;;;;;;;;;;;;;;;;;;;;
NEWS CORPORATION;FALSE;;Production Companies;Fight Club;;;;;;;;;;;;;;;;;;;;;;;
HBO Miniseries;FALSE;in association with;Production Companies;Chernobyl S01E01;;;;;;;;;;;;;;;;;;;;;;;
NEW LINE PRODUCTIONS, INC;FALSE;;Production Companies;Se7en;;;;;;;;;;;;;;;;;;;;;;;
BABE FILMS;FALSE;in coproduzione con;Production Companies;La grande bellezza;;;;;;;;;;;;;;;;;;;;;;;
TAPIOCA FILMS;FALSE;;Production Companies;Amelie;;;;;;;;;;;;;;;;;;;;;;;
ITV Studios Limited;FALSE;;Production Companies;Prime Suspect S01E01;;;;;;;;;;;;;;;;;;;;;;;
BBC Bristol;FALSE;;Production Companies;Planet Earth S01E10;;;;;;;;;;;;;;;;;;;;;;;
MTM ENTERPRISES;FALSE;Production;Production Companies;Hill Street Blues S01E13;;;;;;;;;;;;;;;;;;;;;;;
CINE+;FALSE;e;Production Companies;La grande bellezza;;;;;;;;;;;;;;;;;;;;;;;
Cattleya;FALSE;;Production Companies;Romanzo criminale S01E01;;;;;;;;;;;;;;;;;;;;;;;
Cattleya S.p.A.;FALSE;Copyright 2008;Production Companies;Romanzo criminale S01E01;;;;;;;;;;;;;;;;;;;;;;;
SOFINERGIE 5;FALSE;avec la collaboration de la Sofica;Production Companies;Amelie;;;;;;;;;;;;;;;;;;;;;;;
Sanpellegrino;FALSE;con il contributo di;Production Companies;La grande bellezza;;;;;;;;;;;;;;;;;;;;;;;
Sky Italia Srl.;FALSE;Copyright 2008 ;Production Companies;Romanzo criminale S01E01;;;;;;;;;;;;;;;;;;;;;;;
SKY CINEMA;FALSE;;Production Companies;Romanzo criminale S01E01;;;;;;;;;;;;;;;;;;;;;;;
Victoires Productions;FALSE;;Production Companies;Amelie;;;;;;;;;;;;;;;;;;;;;;;
sky;FALSE;a sky original production;Production Companies;Chernobyl S01E01;;;;;;;;;;;;;;;;;;;;;;;
VICTOIRES PRODUCTIONS;FALSE;;Production Companies;Amelie;;;;;;;;;;;;;;;;;;;;;;;
Sky;FALSE;presents;Production Companies;Chernobyl S01E01;;;;;;;;;;;;;;;;;;;;;;;
BBC;FALSE;;Production Companies;Yes, Prime Minister S01E08;;;;;;;;;;;;;;;;;;;;;;;
MEDUSA FILM;FALSE;in collaborazione con;Production Companies;La grande bellezza;;;;;;;;;;;;;;;;;;;;;;;
SISTER pictures;FALSE;;Production Companies;Chernobyl S01E01;;;;;;;;;;;;;;;;;;;;;;;
SISTER PICTURES;FALSE;;Production Companies;Chernobyl S01E01;;;;;;;;;;;;;;;;;;;;;;;
Sister Pictures;FALSE;A...production;Production Companies;Chernobyl S01E01;;;;;;;;;;;;;;;;;;;;;;;
Sisley;FALSE;con il contributo di;Production Companies;La grande bellezza;;;;;;;;;;;;;;;;;;;;;;;
ANONYMOUS CONTENT;FALSE;;Production Companies;Eternal Sunshine of the Spotless Mind;;;;;;;;;;;;;;;;;;;;;;;
Anonymous Content;FALSE;;Production Companies;Eternal Sunshine of the Spotless Mind;;;;;;;;;;;;;;;;;;;;;;;
GERMAN MOTION PICTURE FUND;FALSE;PRODUCED WITH THE SUPPORT OF;Production Companies;Dark S01E09;;;;;;;;;;;;;;;;;;;;;;;
Oky;FALSE;;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
NIKOLAY PIGAREV;TRUE;DIT;Camera and Electrical Department;Chernobyl S01E01;;NIKOLAY PIGAREV;X;;NIKOLAY PIGAREV;X;;NIKOLAY PIGAREV;X;;NIKOLAY PIGAREV;X;;NIKOLAY PIGAREV;X;;NIKOLAY PIGAREV;X;;NIKOLAY PIGAREV;X;;
Shamley Productions, Inc.;FALSE;Copyright;Production Companies;Psycho;;;;;;;;;;;;;;;;;;;;;;;
MEDIASET PREMIUM;FALSE;in collaborazione con;Production Companies;La grande bellezza;;;;;;;;;;;;;;;;;;;;;;;
CINERIZ;FALSE;UNA PRODUZIONE;Production Companies;8 1-2;;;;;;;;;;;;;;;;;;;;;;;
FRANCE TÉLÉVISIONS;FALSE;con la partecipazione di;Production Companies;La grande bellezza;;;;;;;;;;;;;;;;;;;;;;;
SPELLING ENTERTAINMENT INC.;FALSE;;Production Companies;Twin Peaks S01E03;;;;;;;;;;;;;;;;;;;;;;;
Monarchy Enterprises B.V.;FALSE;Copyright;Production Companies;Fight Club;;;;;;;;;;;;;;;;;;;;;;;
WIEDEMANN & BERG TELEVISION;FALSE;A...PRODUCTION;Production Companies;Dark S01E09;;;;;;;;;;;;;;;;;;;;;;;
WIEDEMANN & BERG TELEVISION;FALSE;;Production Companies;Dark S01E09;;;;;;;;;;;;;;;;;;;;;;;
WIEDEMANN & BERG;FALSE;;Production Companies;Dark S01E09;;;;;;;;;;;;;;;;;;;;;;;
CANAL+;FALSE;avec la participation de;Production Companies;Amelie;;;;;;;;;;;;;;;;;;;;;;;
CANAL+;FALSE;con la partecipazione di;Production Companies;La grande bellezza;;;;;;;;;;;;;;;;;;;;;;;
TWENTIETH CENTURY FOX;FALSE;Produced and Released by;Production Companies;Fight Club;;;;;;;;;;;;;;;;;;;;;;;
MMC INDEPENDENT GMBH;FALSE;;Production Companies;Amelie;;;;;;;;;;;;;;;;;;;;;;;
CORINTH FILMS;FALSE;;Production Companies;8 1-2;;;;;;;;;;;;;;;;;;;;;;;
Twentieth Century Fox Film Corporation;FALSE;Copyright;Production Companies;Fight Club;;;;;;;;;;;;;;;;;;;;;;;
UGC;FALSE;prÃ©sentent;Production Companies;Amelie;;;;;;;;;;;;;;;;;;;;;;;
Ministero per i Beni e le Attività Culturali;FALSE;con il contributo del;Production Companies;La grande bellezza;;;;;;;;;;;;;;;;;;;;;;;
NIKOLAY SEMKO;TRUE;2nd Unit Production Manager;Production Managers;Chernobyl S01E01;nm6024910;Nikolay Semko;A;nm6024910;Nikolay Semko;A;nm6024910;Nikolay Semko;A;nm6024910;Nikolay Semko;A;nm6024910;Nikolay Semko;A;nm6024910;Nikolay Semko;A;nm6024910;Nikolay Semko;A;;
UGC;FALSE;;Production Companies;Amelie;;;;;;;;;;;;;;;;;;;;;;;
FILMSTIFTUNG NRW GmbH;FALSE;et le soutien de la;Production Companies;Amelie;;;;;;;;;;;;;;;;;;;;;;;
Roma Lazio Film Commission;FALSE;con il supporto della;Production Companies;La grande bellezza;;;;;;;;;;;;;;;;;;;;;;;
MIGHTY MINT;FALSE;;Production Companies;Chernobyl S01E01;;;;;;;;;;;;;;;;;;;;;;;
Mighty Mint;FALSE;A...production;Production Companies;Chernobyl S01E01;;;;;;;;;;;;;;;;;;;;;;;
FOCUS FEATURES, LLC;FALSE;COPYRIGHT 2004;Production Companies;Eternal Sunshine of the Spotless Mind;;;;;;;;;;;;;;;;;;;;;;;
Fondo Regionale per il Cinema e l'Audiovisivo;FALSE;opera realizzata con il sostegno della;Production Companies;La grande bellezza;;;;;;;;;;;;;;;;;;;;;;;
FOX 2000 PICTURES;FALSE;present;Production Companies;Fight Club;;;;;;;;;;;;;;;;;;;;;;;
FRANCE 2 CINÉMA;FALSE;e;Production Companies;La grande bellezza;;;;;;;;;;;;;;;;;;;;;;;
France 3 Cinema;FALSE;;Production Companies;Amelie;;;;;;;;;;;;;;;;;;;;;;;
